"Source:","C:\Users\henry\Documents\Github\first-pcb\first-pcb.kicad_sch"
"Date:","6/8/2022 7:53:41 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Mfr ref"
"","","BT1","9V","Device:Battery","Battery:BatteryHolder_Eagle_12BH611-GR","~","",""
"","","C1","100nF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","",""
"","","K1","my_connector","my_library:my_connector","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"","","P1","10k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","",""
"","","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"","","R1","100R","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Acme resistors","12345"
"","","R2","100R","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Acme resistors","12345"
"","","U1","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Mfr ref"
"1","1","BT1","9V","Device:Battery","Battery:BatteryHolder_Eagle_12BH611-GR","~","",""
"2","1","C1","100nF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","",""
"3","1","K1","my_connector","my_library:my_connector","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"4","1","P1","10k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","",""
"5","1","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"6","2","R1, R2","100R","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Acme resistors","12345"
"7","1","U1","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
